numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
147071;FRANCAIS;38 RUE DU GENERAL DE GAULLE;UGC SAS;UGC DIFFUSION;FIXE;NON;48.970841, 2.307185;Ile-de-France;95;95210;Enghien-les-Bains
147971;PALACE;33 BOULEVARD DE LA MOTTE;CINEMA PALACE;BROUILLER - SNES;FIXE;NON;49.04567, 3.958674;Grand-Est;51;51230;epernay
148324;MEGA CGR;5 AVENUE DU MARECHAL  JOFFRE;VILLERAY;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;48.957859, 2.301996;Ile-de-France;93;93031;epinay-sur-Seine
149335;PIERRE FRESNAY;3 RUE SAINT FLAIVE;COMMUNE DE ERMONT;;FIXE;NON;48.988575, 2.259906;Ile-de-France;95;95219;Ermont
149552;ARMOR CINE;RUE DU CHEMIN VERT;ASSOCIATION CATHOLIQUE DES CHEFS DE FAMILLE D ERQUY;SAS CINE DIFFUSION;FIXE;NON;48.63121, -2.463964;Bretagne;22;22054;Erquy
152884;CINETAMPES;PLACE GEOFFROY ST HILAIRE;ASSOCIATION ETAMPOISE CINE PETIT THEATRE;;FIXE;NON;48.434287, 2.157598;Ile-de-France;91;91223;etampes
155143;CINEMA MUNICIPAL;CINEMA MUNICIPAL;CINEM AUDE 2000 VILLATGE AL PAIS;;ITINERANT;NON;43.158478, 2.727734;Occitanie;11;11140;Ferrals-les-Corbieres
157971;VOLTAIRE;LA POTERIE;CINEMAS VOLTAIRE;;FIXE;NON;46.253781, 6.118753;Auvergne - Rhone-Alpes;1;1160;Ferney-Voltaire
158701;LE PALACE;23 RUE DENFERT ROCHEREAU;ASSOCIATION LOISIRS ET CULTURE;;FIXE;NON;48.187045, 0.653774;Pays de la Loire;72;72132;La Ferte-Bernard
162501;SALLE DES FETES;FONCINE LE HAUT;ASSOCIATION COMITE DES FETES CINEMA;;FIXE;NON;46.656698, 6.0275;Bourgogne - Franche-Comte;39;39228;Foncine-le-Haut
162853;CINEPARADIS;10 AVENUE MARECHAL DE VILLARS;L ERMITAGE;CINEPARADIS;FIXE;NON;48.400175, 2.71613;Ile-de-France;77;77186;Fontainebleau
163962;LE SCARRON;8 AV. JEANNE ET MAURICE DOLIVET;COMITE MUNICIPAL DES FETES;;FIXE;NON;48.791543, 2.289748;Ile-de-France;92;92032;Fontenay-aux-Roses
164771;EDEN;GRAND RUE;COMMUNE DE FONTVIEILLE;;FIXE;NON;43.726491, 4.708604;Provence-Alpes-Cote-d'Azur;13;13038;Fontvieille
